phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
9,8,34,9,9,40,9,9,37,1,5,46
9,6,40,9,7,41,9,8,37,1,5,46
7,6,42,7,6,43,9,7,35,11,5,42
17,6,39,7,6,44,9,7,36,1,5,45
7,7,38,7,8,47,9,8,40,1,5,43
15,6,35,7,5,37,9,7,36,1,5,45
15,6,35,7,6,40,9,6,40,11,7,51
15,7,35,7,6,35,9,6,40,1,7,55
5,8,39,7,6,34,9,8,44,1,7,56
5,7,42,7,7,37,9,7,42,1,6,53
5,8,44,7,7,40,9,7,42,1,7,53
5,7,43,7,7,41,9,8,46,1,6,56
5,10,48,7,7,43,9,8,46,1,7,59
5,8,47,7,7,41,9,9,52,1,6,58
5,8,39,7,5,36,9,5,39,11,6,52
5,7,36,7,5,34,11,6,42,11,7,51
5,6,37,7,6,34,1,5,40,11,7,57
7,7,45,7,8,42,9,6,45,11,7,55
5,7,39,7,6,42,9,7,44,11,7,54
5,7,35,9,7,40,9,9,47,1,6,56
5,7,44,7,6,39,9,8,52,11,7,60
15,8,39,7,7,34,9,7,41,1,7,60
15,8,41,7,6,42,9,6,43,1,6,53
15,10,41,7,6,38,9,6,46,15,7,56
15,10,37,7,5,33,9,7,43,15,8,55
15,11,38,9,6,36,9,8,52,15,10,57
15,13,38,9,5,34,15,9,53,15,12,61
15,14,37,7,4,28,15,8,46,15,10,55
15,11,38,7,5,35,9,7,50,15,8,59
15,10,39,9,6,37,9,7,51,1,7,55
5,10,35,9,9,32,9,11,51,1,6,53
5,9,36,9,8,31,9,10,51,1,6,53
9,7,38,9,9,42,9,11,49,11,7,50
9,8,37,9,11,46,9,14,58,11,6,50
9,9,35,9,11,42,9,12,54,11,7,54
9,10,33,9,12,40,9,13,58,11,7,51
9,12,41,9,13,44,9,15,56,12,7,51
9,13,38,9,14,47,9,17,57,11,8,58
9,11,41,9,13,47,9,16,66,11,8,70
9,14,46,9,17,50,9,19,64,1,7,66
9,17,48,9,19,62,9,19,66,1,7,62
9,19,54,9,20,62,9,20,69,11,7,62
9,18,52,9,20,55,9,20,65,11,8,61
9,17,49,9,18,51,9,19,61,1,7,62
0,0,0,1,2,8,11,4,25,1,4,35
5,5,30,7,5,31,9,5,35,1,5,37
5,5,32,7,5,37,9,6,38,1,5,44
9,6,33,9,7,32,9,9,42,1,6,47
9,7,35,9,9,34,9,9,40,1,5,46
7,5,33,9,6,31,9,8,35,1,5,41
7,5,33,9,6,38,9,8,38,1,6,47
7,5,34,7,6,44,9,5,41,11,6,53
7,7,40,7,7,47,9,7,41,1,5,48
9,6,39,9,8,48,9,8,40,11,6,47
7,5,34,7,6,44,9,7,37,1,5,41
7,5,30,7,6,44,9,5,37,1,5,47
15,6,29,8,7,44,1,5,39,11,7,49
7,6,30,7,7,41,9,6,36,1,6,47
5,5,30,7,7,42,9,8,41,1,6,50
7,6,34,9,8,47,9,9,46,1,6,53
9,7,37,9,10,51,9,10,46,1,5,45
9,7,39,9,9,47,9,9,45,1,5,48
9,9,38,9,11,49,9,13,52,1,5,49
9,10,41,9,12,53,9,14,56,11,6,51
9,13,41,9,16,54,9,17,56,1,6,55
9,14,36,9,15,46,9,15,47,11,6,45
9,8,29,9,10,42,9,9,45,11,6,42
9,7,24,9,9,43,9,9,44,11,6,43
9,7,39,9,9,48,9,10,48,1,7,46
9,9,38,9,10,46,9,12,48,1,5,41
9,10,35,9,12,48,9,13,52,11,7,52
9,12,42,9,14,49,9,14,45,1,5,45
9,9,41,9,11,50,9,13,47,1,5,48
9,10,44,9,11,53,9,13,49,1,6,54
9,9,44,9,11,54,9,12,46,11,7,49
9,8,43,9,10,50,9,10,42,1,6,47
15,8,45,9,9,56,9,9,43,11,7,54
15,8,41,9,8,54,9,9,46,1,7,50
15,8,35,7,6,51,1,5,42,1,6,47
15,8,33,8,7,51,1,5,43,1,6,45
7,5,33,7,6,47,9,6,40,11,6,48
5,6,38,9,8,49,9,8,38,1,6,48
5,8,38,9,11,42,9,11,47,11,7,46
5,9,39,9,12,48,9,14,54,1,6,50
9,12,44,9,16,63,9,16,56,11,8,54
9,19,48,9,20,66,9,19,61,1,6,54
9,20,55,9,20,65,9,19,65,11,7,59
